lex,lhx,lnx,lfx,ltx,lmx,lud,lup,lld,llp,rex,rhx,rnx,rfx,rtx,rmx,rud,rup,rld,rlp,brx,fax,oax,qcx
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,,4,,,,,4,4,,,,4,,,,,4,4,,,,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,2,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,,2,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,2,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,2,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,2,,4,,,,,4,4,,,,
,,2,4,,,2,,4,4,2,2,,4,,,,,4,4,,,,
,,2,4,,,2,,4,4,2,2,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,,4,,,,,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
,,2,4,,,2,,4,4,2,,2,4,,,2,2,4,4,,,1,
